无事不登三宝殿	wu'shi'bu'deng'san'bao'dian
男尊女卑	nan'zun'nv'bei
南来北往	nan'lai'bei'wang
祸从天降	huo'cong'tian'jiang
南征北战	nan'zheng'bei'zhan
叽里咕噜	ji'li'gu'lu
攀龙附风	pan'long'fu'feng
万籁俱寂	wan'lai'ju'ji
风流韵事	feng'liu'yun'shi
江湖骗子	jiang'hu'pian'zi
将功赎罪	jiang'gong'shu'zui
闻风丧胆	wen'feng'sang'dan
瓶瓶罐罐	ping'ping'guan'guan
借鸡生蛋	jie'ji'sheng'dan
天壤之别	tian'rang'zhi'bie
无事生非	wu'shi'sheng'fei
无以复加	wu'yi'fu'jia
言不由衷	yan'bu'you'zhong
先知先觉	xian'zhi'xian'jue
无病呻吟	wu'bing'shen'yin
喜新厌旧	xi'xin'yan'jiu
泱泱大国	yang'yang'da'guo
阳春白雪	yang'chun'bai'xue
阳刚之气	yang'gang'zhi'qi
世态炎凉	shi'tai'yan'liang
没头苍蝇	mei'tou'cang'ying
面如死灰	mian'ru'si'hui
名实相符	ming'shi'xiang'fu
摇头摆尾	yao'tou'bai'wei
先入为主	xian'ru'wei'zhu
兴利除弊	xing'li'chu'bi
奴颜婢膝	nu'yan'bi'xi
不可救药	bu'ke'jiu'yao
谈天说地	tan'tian'shuo'di
人工授精	ren'gong'shou'jing
提纲挈领	ti'gang'qie'ling
奇珍异宝	qi'zhen'yi'bao
恬不知耻	tian'bu'zhi'chi
有线广播	you'xian'guang'bo
千夫所指	qian'fu'suo'zhi
前后脚儿	qian'hou'jiao'er
有言在先	you'yan'zai'xian
穷奢极欲	qiong'she'ji'yu
琼楼玉宇	qiong'lou'yu'yu
雨过天晴	yu'guo'tian'qing
人多嘴杂	ren'duo'zui'za
万念俱灰	wan'nian'ju'hui
为富不仁	wei'fu'bu'ren
日暮途穷	ri'mu'tu'qiong
以逸待劳	yi'yi'dai'lao
无可指责	wu'ke'zhi'ze
上蹿下跳	shang'cuan'xia'tiao
千娇百媚	qian'jiao'bai'mei
神神道道	shen'shen'dao'dao
石头子儿	shi'tou'zi'er
时起时伏	shi'qi'shi'fu
原班人马	yuan'ban'ren'ma
闲言碎语	xian'yan'sui'yu
手疾眼快	shou'ji'yan'kuai
引经据典	yin'jing'ju'dian
响彻云霄	xiang'che'yun'xiao
引以自豪	yin'yi'zi'hao
血流如注	xue'liu'ru'zhu
争风吃醋	zheng'feng'chi'cu
知法犯法	zhi'fa'fan'fa
石破天惊	shi'po'tian'jing
镇定自若	zhen'ding'zi'ruo
只字不提	zhi'zi'bu'ti
以一当十	yi'yi'dang'shi
倚老卖老	yi'lao'mai'lao
忆苦思甜	yi'ku'si'tian
网络营销	wang'luo'ying'xiao
忘年之交	wang'nian'zhi'jiao
死记硬背	si'ji'ying'bei
众口一词	zhong'kou'yi'ci
罪该万死	zui'gai'wan'si
悉听尊便	xi'ting'zun'bian
作茧自缚	zuo'jian'zi'fu
拔苗助长	ba'miao'zhu'zhang
豪言壮语	hao'yan'zhuang'yu
先礼后兵	xian'li'hou'bing
百尺竿头	bai'chi'gan'tou
志得意满	zhi'de'yi'man
楔形文字	xie'xing'wen'zi
星火燎原	xing'huo'liao'yuan
行将就木	xing'jiang'jiu'mu
栉风沐雨	zhi'feng'mu'yu
中庸之道	zhong'yong'zhi'dao
学有专长	xue'you'zhuan'chang
转口贸易	zhuan'kou'mao'yi
地广人稀	di'guang'ren'xi
一面之交	yi'mian'zhi'jiao
一争高低	yi'zheng'gao'di
以身许国	yi'shen'xu'guo
铁石心肠	tie'shi'xin'chang
薄利多销	bo'li'duo'xiao
知人之明	zhi'ren'zhi'ming
不可胜数	bu'ke'sheng'shu
不容分说	bu'rong'fen'shuo
知人善任	zhi'ren'shan'ren
八仙过海	ba'xian'guo'hai
庞然大物	pang'ran'da'wu
避实就虚	bi'shi'jiu'xu
仗势欺人	zhang'shi'qi'ren
真名实姓	zhen'ming'shi'xing
问寒问暖	wen'han'wen'nuan
治国安邦	zhi'guo'an'bang
称兄道弟	cheng'xiong'dao'di
彪形大汉	biao'xing'da'han
自我吹嘘	zi'wo'chui'xu
巴山蜀水	ba'shan'shu'shui
呜呼哀哉	wu'hu'ai'zai
捶胸顿足	chui'xiong'dun'zu
出以公心	chu'yi'gong'xin
形影相吊	xing'ying'xiang'diao
别无二致	bie'wu'er'zhi
紧衣缩食	jin'yi'suo'shi
寸步不让	cun'bu'bu'rang
藏头露尾	cang'tou'lu'wei
星星之火	xing'xing'zhi'huo
长话短说	chang'hua'duan'shuo
电子图书	dian'zi'tu'shu
乘龙快婿	cheng'long'kuai'xu
程序控制	cheng'xu'kong'zhi
前呼后拥	qian'hu'hou'yong
蜂拥而上	feng'yong'er'shang
垂暮之年	chui'mu'zhi'nian
垂涎欲滴	chui'xian'yu'di
价廉物美	jia'lian'wu'mei
大而化之	da'er'hua'zhi
大碗儿茶	da'wan'er'cha
趁热打铁	chen're'da'tie
言外之意	yan'wai'zhi'yi
低眉顺眼	di'mei'shun'yan
电子音乐	dian'zi'yin'yue
嗤之以鼻	chi'zhi'yi'bi
固若金汤	gu'ruo'jin'tang
额手称庆	e'shou'cheng'qing
安营扎寨	an'ying'zha'zhai
花花世界	hua'hua'shi'jie
画蛇添足	hua'she'tian'zu
衣冠楚楚	yi'guan'chu'chu
后台老板	hou'tai'lao'ban
大步流星	da'bu'liu'xing
钢化玻璃	gang'hua'bo'li
大有文章	da'you'wen'zhang
隔墙有耳	ge'qiang'you'er
各持己见	ge'chi'ji'jian
浮想联翩	fu'xiang'lian'pian
恍如隔世	huang'ru'ge'shi
揭竿而起	jie'gan'er'qi
狗头军师	gou'tou'jun'shi
优柔寡断	you'rou'gua'duan
浑水摸鱼	hun'shui'mo'yu
挂一漏万	gua'yi'lou'wan
积少成多	ji'shao'cheng'duo
耀武扬威	yao'wu'yang'wei
来者不拒	lai'zhe'bu'ju
登峰造极	deng'feng'zao'ji
灰不溜秋	hui'bu'liu'qiu
鸡零狗碎	ji'ling'gou'sui
鸡犬不留	ji'quan'bu'liu
帝王将相	di'wang'jiang'xiang
假模假式	jia'mo'jia'shi
减亏增盈	jian'kui'zeng'ying
见景生情	jian'jing'sheng'qing
峰回路转	feng'hui'lu'zhuan
舍己救人	she'ji'jiu'ren
劫后余生	jie'hou'yu'sheng
立功赎罪	li'gong'shu'zui
临阵脱逃	lin'zhen'tuo'tao
公事公办	gong'shi'gong'ban
明察秋毫	ming'cha'qiu'hao
脑袋瓜儿	nao'dai'gua'er
窟窿眼儿	ku'long'yan'er
满打满算	man'da'man'suan
暴风骤雨	bao'feng'zhou'yu
宽大为怀	kuan'da'wei'huai
民族资本	min'zu'zi'ben
难分难解	nan'fen'nan'jie
神采奕奕	shen'cai'yi'yi
长年累月	chang'nian'lei'yue
含情脉脉	han'qing'mai'mai
老白干儿	lao'bai'gan'er
乐而忘返	le'er'wang'fan
离弦之箭	li'xian'zhi'jian
立等可取	li'deng'ke'qu
充耳不闻	chong'er'bu'wen
略见一斑	lue'jian'yi'ban
席地而坐	xi'di'er'zuo
合成纤维	he'cheng'xian'wei
合而为一	he'er'wei'yi
锐不可当	rui'bu'ke'dang
千刀万剐	qian'dao'wan'gua
扫地出门	sao'di'chu'men
脑满肠肥	nao'man'chang'fei
清规戒律	qing'gui'jie'lv
曲高和寡	qu'gao'he'gua
否极泰来	pi'ji'tai'lai
窗明几净	chuang'ming'ji'jing
棋逢对手	qi'feng'dui'shou
全科医生	quan'ke'yi'sheng
大马哈鱼	da'ma'ha'yu
尸横遍野	shi'heng'bian'ye
呼风唤雨	hu'feng'huan'yu
地大物博	di'da'wu'bo
死皮赖脸	si'pi'lai'lian
感情用事	gan'qing'yong'shi
讳莫如深	hui'mo'ru'shen
斯文扫地	si'wen'sao'di
死无对证	si'wu'dui'zheng
春风得意	chun'feng'de'yi
谈笑自若	tan'xiao'zi'ruo
风餐露宿	feng'can'lu'su
头昏脑胀	tou'hun'nao'zhang
土里土气	tu'li'tu'qi
推三阻四	tui'san'zu'si
泾渭分明	jing'wei'fen'ming
唾手可得	tuo'shou'ke'de
纨绔子弟	wan'ku'zi'di
逍遥自在	xiao'yao'zi'zai
玩物丧志	wan'wu'sang'zhi
王母娘娘	wang'mu'niang'niang
仙风道骨	xian'feng'dao'gu
唯心史观	wei'xin'shi'guan
喜结良缘	xi'jie'liang'yuan
未老先衰	wei'lao'xian'shuai
无关痛痒	wu'guan'tong'yang
心存芥蒂	xin'cun'jie'di
阿拉伯语	a'la'bo'yu
随叫随到	sui'jiao'sui'dao
无理取闹	wu'li'qu'nao
连篇累牍	lian'pian'lei'du
力挽狂澜	li'wan'kuang'lan
扶老携幼	fu'lao'xie'you
揠苗助长	ya'miao'zhu'zhang
言不及义	yan'bu'ji'yi
言为心声	yan'wei'xin'sheng
兴师问罪	xing'shi'wen'zui
满山遍野	man'shan'bian'ye
影子内阁	ying'zi'nei'ge
有口难辩	you'kou'nan'bian
压缩空气	ya'suo'kong'qi
言之成理	yan'zhi'cheng'li
心花怒放	xin'hua'nu'fang
招之即来	zhao'zhi'ji'lai
洋洋自得	yang'yang'zi'de
指甲盖儿	zhi'jia'gai'er
植物群落	zhi'wu'qun'luo
妖言惑众	yao'yan'huo'zhong
众寡悬殊	zhong'gua'xuan'shu
大兴土木	da'xing'tu'mu
专横跋扈	zhuan'heng'ba'hu
抓耳挠腮	zhua'er'nao'sai
一念之差	yi'nian'zhi'cha
以小见大	yi'xiao'jian'da
自食其言	zi'shi'qi'yan
以礼相待	yi'li'xiang'dai
令人神往	ling'ren'shen'wang
有轨电车	you'gui'dian'che
坐怀不乱	zuo'huai'bu'luan
有头有脸	you'tou'you'lian
小心眼儿	xiao'xin'yan'er
牛郎织女	niu'lang'zhi'nv
张三李四	zhang'san'li'si
笑逐颜开	xiao'zhu'yan'kai
知根知底	zhi'gen'zhi'di
壁垒森严	bi'lei'sen'yan
鞭辟入里	bian'pi'ru'li
纸醉金迷	zhi'zui'jin'mi
责任编辑	ze'ren'bian'ji
不时之需	bu'shi'zhi'xu
自成一体	zi'cheng'yi'ti
自顾不暇	zi'gu'bu'xia
强加于人	qiang'jia'yu'ren
踌躇不前	chou'chu'bu'qian
有口皆碑	you'kou'jie'bei
半路出家	ban'lu'chu'jia
情有可原	qing'you'ke'yuan
若即若离	ruo'ji'ruo'li
醉生梦死	zui'sheng'meng'si
不打自招	bu'da'zi'zhao
低等动物	di'deng'dong'wu
大义凛然	da'yi'lin'ran
神魂颠倒	shen'hun'dian'dao
三足鼎立	san'zu'ding'li
笨手笨脚	ben'shou'ben'jiao
恩重如山	en'zhong'ru'shan
囊空如洗	nang'kong'ru'xi
正襟危坐	zheng'jin'wei'zuo
匪夷所思	fei'yi'suo'si
试管婴儿	shi'guan'ying'er
风景如画	feng'jing'ru'hua
风雨如磐	feng'yu'ru'pan
例行公事	li'xing'gong'shi
党同伐异	dang'tong'fa'yi
倒背如流	dao'bei'ru'liu
分道扬镳	fen'dao'yang'biao
千疮百孔	qian'chuang'bai'kong
颠来倒去	dian'lai'dao'qu
孤魂野鬼	gu'hun'ye'gui
瓜田李下	gua'tian'li'xia
吃眼前亏	chi'yan'qian'kui
痴心妄想	chi'xin'wang'xiang
出言不逊	chu'yan'bu'xun
浩如烟海	hao'ru'yan'hai
至理名言	zhi'li'ming'yan
干鲜果品	gan'xian'guo'pin
感慨系之	gan'kai'xi'zhi
各奔前程	ge'ben'qian'cheng
鸡毛掸子	ji'mao'dan'zi
姑息养奸	gu'xi'yang'jian
故伎重演	gu'ji'chong'yan
海誓山盟	hai'shi'shan'meng
美中不足	mei'zhong'bu'zu
横征暴敛	heng'zheng'bao'lian
门庭若市	men'ting'ruo'shi
高不可攀	gao'bu'ke'pan
凶神恶煞	xiong'shen'e'sha
胳膊肘儿	ge'bo'zhou'er
鼎鼎大名	ding'ding'da'ming
捷足先登	jie'zu'xian'deng
金融寡头	jin'rong'gua'tou
化学纤维	hua'xue'xian'wei
花样翻新	hua'yang'fan'xin
回味无穷	hui'wei'wu'qiong
一衣带水	yi'yi'dai'shui
据为己有	ju'wei'ji'you
流里流气	liu'li'liu'qi
龙争虎斗	long'zheng'hu'dou
假洋鬼子	jia'yang'gui'zi
付之一炬	fu'zhi'yi'ju
敢作敢为	gan'zuo'gan'wei
活蹦乱跳	huo'beng'luan'tiao
饥寒交迫	ji'han'jiao'po
于心不忍	yu'xin'bu'ren
黯然失色	an'ran'shi'se
集市贸易	ji'shi'mao'yi
自生自灭	zi'sheng'zi'mie
目光如炬	mu'guang'ru'ju
寥若晨星	liao'ruo'chen'xing
峥嵘岁月	zheng'rong'sui'yue
好自为之	hao'zi'wei'zhi
欺人之谈	qi'ren'zhi'tan
合二为一	he'er'wei'yi
软硬兼施	ruan'ying'jian'shi
严惩不贷	yan'cheng'bu'dai
一语道破	yi'yu'dao'po
鸟枪换炮	niao'qiang'huan'pao
挥洒自如	hui'sa'zi'ru
人机对话	ren'ji'dui'hua
节骨眼儿	jie'gu'yan'er
荣誉军人	rong'yu'jun'ren
事在人为	shi'zai'ren'wei
杀人如麻	sha'ren'ru'ma
山南海北	shan'nan'hai'bei
以身殉职	yi'shen'xun'zhi
社会工作	she'hui'gong'zuo
金戈铁马	jin'ge'tie'ma
日晒雨淋	ri'shai'yu'lin
戎马倥偬	rong'ma'kong'zong
食古不化	shi'gu'bu'hua
恃才傲物	shi'cai'ao'wu
三思而行	san'si'er'xing
束手束脚	shu'shou'shu'jiao
三维空间	san'wei'kong'jian
空头支票	kong'tou'zhi'piao
说东道西	shuo'dong'dao'xi
硕果仅存	shuo'guo'jin'cun
杀身成仁	sha'shen'cheng'ren
四大皆空	si'da'jie'kong
苦思冥想	ku'si'ming'xiang
太阳地儿	tai'yang'di'er
不攻自破	bu'gong'zi'po
天渊之别	tian'yuan'zhi'bie
不远千里	bu'yuan'qian'li
同出一辙	tong'chu'yi'zhe
司乘人员	si'cheng'ren'yuan
拖家带口	tuo'jia'dai'kou
望风而逃	wang'feng'er'tao
趁火打劫	chen'huo'da'jie
门庭冷落	men'ting'leng'luo
无名之辈	wu'ming'zhi'bei
物换星移	wu'huan'xing'yi
天旋地转	tian'xuan'di'zhuan
油盐酱醋	you'yan'jiang'cu
泰然处之	tai'ran'chu'zhi
闲杂人员	xian'za'ren'yuan
唾沫星子	tuo'mo'xing'zi
披星戴月	pi'xing'dai'yue
不以为意	bu'yi'wei'yi
硝酸甘油	xiao'suan'gan'you
小本经营	xiao'ben'jing'ying
小肚鸡肠	xiao'du'ji'chang
葡萄球菌	pu'tao'qiu'jun
携家带口	xie'jia'dai'kou
雄姿英发	xiong'zi'ying'fa
大风大浪	da'feng'da'lang
摇头晃脑	yao'tou'huang'nao
蓄势待发	xu'shi'dai'fa
血海深仇	xue'hai'shen'chou
晕头转向	yun'tou'zhuan'xiang
雁过拔毛	yan'guo'ba'mao
外交辞令	wai'jiao'ci'ling
夜不闭户	ye'bu'bi'hu
衣不蔽体	yi'bu'bi'ti
翘首以待	qiao'shou'yi'dai
污言秽语	wu'yan'hui'yu
无冕之王	wu'mian'zhi'wang
无师自通	wu'shi'zi'tong
引蛇出洞	yin'she'chu'dong
隐形眼镜	yin'xing'yan'jing
轻车熟路	qing'che'shu'lu
有隙可乘	you'xi'ke'cheng
动人心弦	dong'ren'xin'xian
郁郁苍苍	yu'yu'cang'cang
若有所失	ruo'you'suo'shi
散兵游勇	san'bing'you'yong
疑神疑鬼	yi'shen'yi'gui
度日如年	du'ri'ru'nian
老实巴交	lao'shi'ba'jiao
老少边穷	lao'shao'bian'qiong
钟灵毓秀	zhong'ling'yu'xiu
两全其美	liang'quan'qi'mei
深山老林	shen'shan'lao'lin
出神入化	chu'shen'ru'hua
一穷二白	yi'qiong'er'bai
以强凌弱	yi'qiang'ling'ruo
罪不容诛	zui'bu'rong'zhu
一团和气	yi'tuan'he'qi
一无是处	yi'wu'shi'chu
特种邮票	te'zhong'you'piao
经济杠杆	jing'ji'gang'gan
高人一等	gao'ren'yi'deng
徒有虚名	tu'you'xu'ming
博古通今	bo'gu'tong'jin
博闻强记	bo'wen'qiang'ji
万丈深渊	wan'zhang'shen'yuan
妄自尊大	wang'zi'zun'da
望眼欲穿	wang'yan'yu'chuan
游手好闲	you'shou'hao'xian
承先启后	cheng'xian'qi'hou
吃里爬外	chi'li'pa'wai
自我标榜	zi'wo'biao'bang
有机可乘	you'ji'ke'cheng
河北梆子	he'bei'bang'zi
一马当先	yi'ma'dang'xian
生物防治	sheng'wu'fang'zhi
打入冷宫	da'ru'leng'gong
概莫能外	gai'mo'neng'wai
筚路蓝缕	bi'lu'lan'lv
淡而无味	dan'er'wu'wei
弹无虚发	dan'wu'xu'fa
不耻下问	bu'chi'xia'wen
第二梯队	di'er'ti'dui
浑浑噩噩	hun'hun'e'e
一掷千金	yi'zhi'qian'jin
戛然而止	jia'ran'er'zhi
鄂温克族	e'wen'ke'zu
音乐喷泉	yin'yue'pen'quan
一反常态	yi'fan'chang'tai
抽油烟机	chou'you'yan'ji
不甘示弱	bu'gan'shi'ruo
非同凡响	fei'tong'fan'xiang
慷慨陈词	kang'kai'chen'ci
动真格的	dong'zhen'ge'de
胆小如鼠	dan'xiao'ru'shu
空前绝后	kong'qian'jue'hou
攻无不克	gong'wu'bu'ke
倒打一耙	dao'da'yi'pa
口是心非	kou'shi'xin'fei
怪石嶙峋	guai'shi'lin'xun
斩草除根	zhan'cao'chu'gen
耳濡目染	er'ru'mu'ran
何罪之有	he'zui'zhi'you
多嘴多舌	duo'zui'duo'she
猴年马月	hou'nian'ma'yue
指名道姓	zhi'ming'dao'xing
龇牙咧嘴	zi'ya'lie'zui
锋芒毕露	feng'mang'bi'lu
自行其是	zi'xing'qi'shi
作威作福	zuo'wei'zuo'fu
夹七夹八	jia'qi'jia'ba
纵横驰骋	zong'heng'chi'cheng
摩天大楼	mo'tian'da'lou
屡教不改	lv'jiao'bu'gai
水涨船高	shui'zhang'chuan'gao
高朋满座	gao'peng'man'zuo
金玉良言	jin'yu'liang'yan
饱经风霜	bao'jing'feng'shuang
瞒天过海	man'tian'guo'hai
狗急跳墙	gou'ji'tiao'qiang
狗血喷头	gou'xue'pen'tou
口耳相传	kou'er'xiang'chuan
内忧外患	nei'you'wai'huan
大快人心	da'kuai'ren'xin
处心积虑	chu'xin'ji'lv
既往不咎	ji'wang'bu'jiu
寄宿学校	ji'su'xue'xiao
屡战屡败	lv'zhan'lv'bai
传宗接代	chuan'zong'jie'dai
洛阳纸贵	luo'yang'zhi'gui
见异思迁	jian'yi'si'qian
打道回府	da'dao'hui'fu
叫苦连天	jiao'ku'lian'tian
说到做到	shuo'dao'zuo'dao
强词夺理	qiang'ci'duo'li
金科玉律	jin'ke'yu'lv
噤若寒蝉	jin'ruo'han'chan
京韵大鼓	jing'yun'da'gu
绵里藏针	mian'li'cang'zhen
经年累月	jing'nian'lei'yue
逢凶化吉	feng'xiong'hua'ji
妙笔生花	miao'bi'sheng'hua
青梅竹马	qing'mei'zhu'ma
得寸进尺	de'cun'jin'chi
改过自新	gai'guo'zi'xin
空洞无物	kong'dong'wu'wu
颠倒黑白	dian'dao'hei'bai
木头木脑	mu'tou'mu'nao
各就各位	ge'jiu'ge'wei
南柯一梦	nan'ke'yi'meng
独占鳌头	du'zhan'ao'tou
锒铛入狱	lang'dang'ru'yu
死不瞑目	si'bu'ming'mu
平板三轮	ping'ban'san'lun
人工降雨	ren'gong'jiang'yu
人仰马翻	ren'yang'ma'fan
祸国殃民	huo'guo'yang'min
敲山震虎	qiao'shan'zhen'hu
巧舌如簧	qiao'she'ru'huang
入乡随俗	ru'xiang'sui'su
秘而不宣	mi'er'bu'xuan
倾巢出动	qing'chao'chu'dong
却之不恭	que'zhi'bu'gong
感慨万端	gan'kai'wan'duan
名垂青史	ming'chui'qing'shi
日月如梭	ri'yue'ru'suo
挥金如土	hui'jin'ru'tu
如箭在弦	ru'jian'zai'xian
诲人不倦	hui'ren'bu'juan
祸不单行	huo'bu'dan'xing
势如破竹	shi'ru'po'zhu
网开一面	wang'kai'yi'mian
见机行事	jian'ji'xing'shi
少安毋躁	shao'an'wu'zao
交换价值	jiao'huan'jia'zhi
七老八十	qi'lao'ba'shi
横行霸道	heng'xing'ba'dao
举手之劳	ju'shou'zhi'lao
花天酒地	hua'tian'jiu'di
简单劳动	jian'dan'lao'dong
犬牙交错	quan'ya'jiao'cuo
缺斤短两	que'jin'duan'liang
人模狗样	ren'mu'gou'yang
三顾茅庐	san'gu'mao'lu
坦诚相待	tan'cheng'xiang'dai
三生有幸	san'sheng'you'xing
搔首弄姿	sao'shou'nong'zi
伤风败俗	shang'feng'bai'su
无可比拟	wu'ke'bi'ni
上行下效	shang'xing'xia'xiao
将心比心	jiang'xin'bi'xin
挑三拣四	tiao'san'jian'si
深仇大恨	shen'chou'da'hen
饥肠辘辘	ji'chang'lu'lu
世风日下	shi'feng'ri'xia
望闻问切	wang'wen'wen'qie
委曲求全	wei'qu'qiu'quan
尾大不掉	wei'da'bu'diao
首善之区	shou'shan'zhi'qu
无机可乘	wu'ji'ke'cheng
五行八作	wu'hang'ba'zuo
流水作业	liu'shui'zuo'ye
瓮声瓮气	weng'sheng'weng'qi
束手待毙	shu'shou'dai'bi
细嚼慢咽	xi'jiao'man'ye
开足马力	kai'zu'ma'li
坛坛罐罐	tan'tan'guan'guan
外层空间	wai'ceng'kong'jian
效益工资	xiao'yi'gong'zi
个人崇拜	ge'ren'chong'bai
九霄云外	jiu'xiao'yun'wai
心急火燎	xin'ji'huo'liao
心直口快	xin'zhi'kou'kuai
举目无亲	ju'mu'wu'qin
看守内阁	kan'shou'nei'ge
完璧归赵	wan'bi'gui'zhao
克敌制胜	ke'di'zhi'sheng
牙牙学语	ya'ya'xue'yu
奇谈怪论	qi'tan'guai'lun
言者无罪	yan'zhe'wu'zui
言之有据	yan'zhi'you'ju
偃武修文	yan'wu'xiu'wen
一鳞半爪	yi'lin'ban'zhao
污泥浊水	wu'ni'zhuo'shui
无力回天	wu'li'hui'tian
引而不发	yin'er'bu'fa
渔人之利	yu'ren'zhi'li
言之有理	yan'zhi'you'li
青翠欲滴	qing'cui'yu'di
仗义疏财	zhang'yi'shu'cai
情同手足	qing'tong'shou'zu
情投意合	qing'tou'yi'he
置之脑后	zhi'zhi'nao'hou
血口喷人	xue'kou'pen'ren
言犹在耳	yan'you'zai'er
以身试法	yi'shen'shi'fa
日以继夜	ri'yi'ji'ye
一败涂地	yi'bai'tu'di
鞍马劳顿	an'ma'lao'dun
百步穿杨	bai'bu'chuan'yang
保税仓库	bao'shui'cang'ku
雷打不动	lei'da'bu'dong
神来之笔	shen'lai'zhi'bi
泡沫经济	pao'mo'jing'ji
逼良为娼	bi'liang'wei'chang
无计可施	wu'ji'ke'shi
因祸得福	yin'huo'de'fu
由表及里	you'biao'ji'li
瘦骨嶙峋	shou'gu'lin'xun
伯仲之间	bo'zhong'zhi'jian
寅吃卯粮	yin'chi'mao'liang
引火烧身	yin'huo'shao'shen
由此及彼	you'ci'ji'bi
不揣冒昧	bu'chuai'mao'mei
不乏其例	bu'fa'qi'li
不尴不尬	bu'gan'bu'ga
才高八斗	cai'gao'ba'dou
有备无患	you'bei'wu'huan
残兵败将	can'bing'bai'jiang
有色人种	you'se'ren'zhong
有始有终	you'shi'you'zhong
越俎代庖	yue'zu'dai'pao
浅尝辄止	qian'chang'zhe'zhi
晴天霹雳	qing'tian'pi'li
欲擒故纵	yu'qin'gu'zong
铁证如山	tie'zheng'ru'shan
投笔从戎	tou'bi'cong'rong
招兵买马	zhao'bing'mai'ma
出将入相	chu'jiang'ru'xiang
诸子百家	zhu'zi'bai'jia
囤积居奇	tun'ji'ju'qi
粗中有细	cu'zhong'you'xi
五谷杂粮	wu'gu'za'liang
洗耳恭听	xi'er'gong'ting
钻井平台	zuan'jing'ping'tai
打躬作揖	da'gong'zuo'yi
打照面儿	da'zhao'mian'er
百战不殆	bai'zhan'bu'dai
闲情逸致	xian'qing'yi'zhi
眼高手低	yan'gao'shou'di
板上钉钉	ban'shang'ding'ding
灵丹妙药	ling'dan'miao'yao
犯上作乱	fan'shang'zuo'luan
伤天害理	shang'tian'hai'li
飞短流长	fei'duan'liu'chang
心慈手软	xin'ci'shou'ruan
藏龙卧虎	cang'long'wo'hu
馋涎欲滴	chan'xian'yu'di
长命百岁	chang'ming'bai'sui
掩耳盗铃	yan'er'dao'ling
万家灯火	wan'jia'deng'huo
杳无音信	yao'wu'yin'xin
俗不可耐	su'bu'ke'nai
易如反掌	yi'ru'fan'zhang
速战速决	su'zhan'su'jue
索然无味	suo'ran'wu'wei
好为人师	hao'wei'ren'shi
核心期刊	he'xin'qi'kan
虎踞龙盘	hu'ju'long'pan
前车之鉴	qian'che'zhi'jian
万事大吉	wan'shi'da'ji
婚生子女	hun'sheng'zi'nv
对牛弹琴	dui'niu'tan'qin
鸡鸣狗盗	ji'ming'gou'dao
畸轻畸重	ji'qing'ji'zhong
集腋成裘	ji'ye'cheng'qiu
五花大绑	wu'hua'da'bang
家大业大	jia'da'ye'da
忍辱负重	ren'ru'fu'zhong
一钱不值	yi'qian'bu'zhi
金口玉言	jin'kou'yu'yan
智勇双全	zhi'yong'shuang'quan
返璞归真	fan'pu'gui'zhen
酒逢知己	jiu'feng'zhi'ji
形势逼人	xing'shi'bi'ren
拒人千里	ju'ren'qian'li
放浪形骸	fang'lang'xing'hai
奋笔疾书	fen'bi'ji'shu
风烛残年	feng'zhu'can'nian
自我解嘲	zi'wo'jie'chao
俯拾皆是	fu'shi'jie'shi
东拼西凑	dong'pin'xi'cou
与人为善	yu'ren'wei'shan
一笔勾销	yi'bi'gou'xiao
拉帮结伙	la'bang'jie'huo
高山反应	gao'shan'fan'ying
阴阳怪气	yin'yang'guai'qi
红红绿绿	hong'hong'lv'lv
汗牛充栋	han'niu'chong'dong
包打天下	bao'da'tian'xia
好吃懒做	hao'chi'lan'zuo
零敲碎打	ling'qiao'sui'da
刚直不阿	gang'zhi'bu'e
忽冷忽热	hu'leng'hu're
花前月下	hua'qian'yue'xia
表里如一	biao'li'ru'yi
奶油小生	nai'you'xiao'sheng
山珍海味	shan'zhen'hai'wei
不甚了了	bu'shen'le'le
鸡飞狗跳	ji'fei'gou'tiao
果不其然	guo'bu'qi'ran
年年月月	nian'nian'yue'yue
半死不活	ban'si'bu'huo
洪水猛兽	hong'shui'meng'shou
保外就医	bao'wai'jiu'yi
争权夺利	zheng'quan'duo'li
处变不惊	chu'bian'bu'jing
一丝不挂	yi'si'bu'gua
混淆视听	hun'xiao'shi'ting
机关刊物	ji'guan'kan'wu
另眼相看	ling'yan'xiang'kan
七折八扣	qi'zhe'ba'kou
奇货可居	qi'huo'ke'ju
大家闺秀	da'jia'gui'xiu
倾巢而出	qing'chao'er'chu
刀耕火种	dao'geng'huo'zhong
一臂之力	yi'bi'zhi'li
情急智生	qing'ji'zhi'sheng
登堂入室	deng'tang'ru'shi
驾轻就熟	jia'qing'jiu'shu
任人摆布	ren'ren'bai'bu
劳苦功高	lao'ku'gong'gao
乳臭未干	ru'chou'wei'gan
山羊胡子	shan'yang'hu'zi
老骥伏枥	lao'ji'fu'li
坚不可摧	jian'bu'ke'cui
涉外婚姻	she'wai'hun'yin
十室九空	shi'shi'jiu'kong
离经叛道	li'jing'pan'dao
势利小人	shi'li'xiao'ren
立体交叉	li'ti'jiao'cha
两肋插刀	liang'lei'cha'dao
反之亦然	fan'zhi'yi'ran
守望相助	shou'wang'xiang'zhu
背井离乡	bei'jing'li'xiang
箭在弦上	jian'zai'xian'shang
扶摇直上	fu'yao'zhi'shang
水幕电影	shui'mu'dian'ying
司售人员	si'shou'ren'yuan
匠心独运	jiang'xin'du'yun
